,DEMAGE,DEMSEX,DEMREL,DEMINC,COV_SHIELD,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,DEMREG,DEMEDU,DEMWRK,VAC_DEC,COV_VAC_SELF,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,DREAD,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,target_1,target_2
33,70,Female,Christian,"£25,000 to £34,999",No,National television,0,0,Newspapers,0,0,0,0,0,0,0,0,0,Scotland,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
34,33,Female,Muslim,"£55,000 to £64,999",No,National television,0,0,0,0,0,0,0,Government websites,The internet or search engines,0,0,0,Greater London,Undergraduate or postgraduate degree,Working full-time,1,2,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,,1
35,65,Male,Christian,"£45,000 to £54,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,Family and friends,0,0,East of England,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
36,76,Male,Christian,"Under £15,000",Yes,National television,0,0,Newspapers,0,0,Healthcare workers,0,0,0,0,0,0,East Midlands,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,4.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
40,20,Male,Christian,"£65,000 to £99,999",No,National television,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,"Work, school, or college",0,South East,Undergraduate or postgraduate degree,Working part-time,0,1,4.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1
41,66,Female,Christian,"£15,000 to £24,999",No,National television,0,0,0,0,0,0,International health authorities (such as The World Health Organization),0,0,0,0,0,North West,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1
43,73,Male,Atheist or agnostic,"£45,000 to £54,999",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,West Midlands,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1
45,68,Male,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,South East,Other,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1
46,65,Male,Christian,"£15,000 to £24,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South West,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1
49,60,Female,Christian,"£15,000 to £24,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,South East,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,0,2,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,,1
50,73,Male,Christian,"£15,000 to £24,999",Yes,0,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,North West,Undergraduate or postgraduate degree,Retired,0,2,4.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,,1
51,49,Female,Other,"£15,000 to £24,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,East Midlands,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
52,83,Male,Christian,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South East,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
53,71,Male,Christian,"£15,000 to £24,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,Wales,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
54,23,Female,Muslim,"£15,000 to £24,999",No,National television,0,Radio,0,0,0,Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,North West,Undergraduate or postgraduate degree,Working part-time,0,2,4.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,1
55,69,Male,Other,"Under £15,000",Yes,National television,0,Radio,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,The internet or search engines,Family and friends,0,0,South West,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,2,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,1
56,77,Female,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,East of England,2+ A levels or equivalents,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1
57,60,Female,Atheist or agnostic,"£15,000 to £24,999",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,North West,Undergraduate or postgraduate degree,Retired,0,2,4.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,1
58,68,Male,Christian,"£15,000 to £24,999",Yes,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,Yorkshire and The Humber,Apprenticeship,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1
59,82,Male,Christian,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,North East,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1
60,77,Female,Christian,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,East of England,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
61,67,Male,Atheist or agnostic,"£35,000 to £44,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,Greater London,2+ A levels or equivalents,Retired,0,2,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,1
62,60,Male,Atheist or agnostic,"£65,000 to £99,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,South East,2+ A levels or equivalents,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
64,78,Male,Christian,"£15,000 to £24,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,0,0,0,0,0,North West,"0-4 GCSE, O-levels, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1
67,76,Male,Christian,"£15,000 to £24,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,East Midlands,Other,Retired,0,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
68,70,Female,Christian,"£35,000 to £44,999",No,National television,0,0,0,0,0,0,0,0,0,0,0,0,West Midlands,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
69,58,Male,Christian,"£25,000 to £34,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,Greater London,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1
70,74,Female,Christian,"£15,000 to £24,999",Yes,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,South West,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1
71,73,Female,Christian,"£15,000 to £24,999",Yes,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Wales,Undergraduate or postgraduate degree,Retired,0,1,3.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1
74,73,Male,Christian,"£25,000 to £34,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,East of England,2+ A levels or equivalents,Retired,0,1,4.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
75,70,Male,Christian,"Under £15,000",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,0,0,0,Greater London,No academic qualifications,Retired,1,4,3.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,0
80,35,Male,Atheist or agnostic,"£65,000 to £99,999",No,National television,0,0,0,0,0,0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Yorkshire and The Humber,Undergraduate or postgraduate degree,Working full-time,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1
82,78,Male,Christian,"£15,000 to £24,999",No,National television,0,0,Newspapers,0,0,0,0,0,0,0,0,0,South East,Undergraduate or postgraduate degree,Retired,0,1,3.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1
84,44,Male,Christian,"£35,000 to £44,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,0,0,0,0,Wales,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1
85,62,Female,Christian,"£15,000 to £24,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,0,0,0,West Midlands,No academic qualifications,Looking after the home,0,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1
86,68,Male,Christian,"Under £15,000",No,National television,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,Scotland,2+ A levels or equivalents,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1
87,65,Female,Christian,"Under £15,000",Yes,National television,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,International health authorities (such as The World Health Organization),0,0,0,0,0,South West,Other,Looking after the home,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1
88,81,Male,Christian,"£15,000 to £24,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,East of England,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1
89,37,Male,Atheist or agnostic,"£65,000 to £99,999",No,0,0,0,0,0,0,0,0,Government websites,0,0,0,0,South West,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1
90,68,Male,Atheist or agnostic,"£35,000 to £44,999",Yes,National television,0,Radio,0,0,0,0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
91,56,Male,Other,"£65,000 to £99,999",No,National television,Satellite / international television channels,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,East Midlands,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1
92,70,Male,Christian,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,0,0,0,Government websites,0,0,0,0,Yorkshire and The Humber,No academic qualifications,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
94,21,Female,Atheist or agnostic,"£35,000 to £44,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,West Midlands,Undergraduate or postgraduate degree,Student,0,1,4.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1
99,76,Female,Christian,"Under £15,000",No,0,0,0,0,0,0,0,0,0,0,0,0,0,Yorkshire and The Humber,"0-4 GCSE, O-levels, or equivalents",Retired,0,2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,,1
101,74,Female,Christian,"£25,000 to £34,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,West Midlands,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,3.0,4.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
104,60,Female,Christian,"£55,000 to £64,999",No,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,Undergraduate or postgraduate degree,Working full-time,1,1,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1
106,67,Male,Christian,"£25,000 to £34,999",No,National television,0,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Yorkshire and The Humber,2+ A levels or equivalents,Working full-time,0,1,4.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1
108,52,Male,Atheist or agnostic,"Under £15,000",No,0,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,Scotland,"5+ GCSE, O-levels, 1 A level, or equivalents",Retired,0,1,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1
109,24,Male,Christian,"£65,000 to £99,999",Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,Yorkshire and The Humber,Undergraduate or postgraduate degree,Working full-time,1,3,2.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,,0
110,71,Male,Christian,"£55,000 to £64,999",Yes,National television,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,Family and friends,0,0,Greater London,"0-4 GCSE, O-levels, or equivalents",Working full-time,0,1,3.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1
111,22,Male,Christian,"£55,000 to £64,999",No,National television,Satellite / international television channels,Radio,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),0,0,0,0,0,North East,Undergraduate or postgraduate degree,Student,0,1,3.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1
112,71,Male,Atheist or agnostic,"£25,000 to £34,999",No,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South East,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1
113,47,Female,Atheist or agnostic,"£15,000 to £24,999",Yes,0,0,0,0,0,0,Healthcare workers,0,Government websites,0,0,0,0,Scotland,2+ A levels or equivalents,Working part-time,0,2,4.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,1
116,65,Female,Other,"£25,000 to £34,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,North West,2+ A levels or equivalents,Retired,0,1,4.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1
118,23,Female,Atheist or agnostic,"£35,000 to £44,999",No,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,West Midlands,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,0,1,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1
119,73,Female,Atheist or agnostic,"£25,000 to £34,999",No,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,South East,Undergraduate or postgraduate degree,Retired,0,1,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
120,66,Male,Atheist or agnostic,"£25,000 to £34,999",Yes,0,Satellite / international television channels,0,Newspapers,0,0,0,International health authorities (such as The World Health Organization),0,The internet or search engines,0,0,Other (please specify),North West,Undergraduate or postgraduate degree,Retired,0,4,4.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
