,COV_DOSE,COV_DOSE_2,COV_KNOWL_1,COV_KNOWL_2,COV_KNOWL_3,COV_KNOWL_4,COV_KNOWL_5,COV_KNOWL_6,COV_KNOWL_7,VAC_PASS_INT,ANX_1,ANX_2,ANX_3,ANX_4,ANX_5,ANX_6,DEMAGE,DREAD,DEMREG,DEMSEX,DEMEDU,DEMWRK,DEMREL,DEMINC,COV_INV,DEMNHS,COV_SHIELD,VAC_DEC,Q71,MIST_1,MIST_2,MIST_3,MIST_4,MIST_5,MIST_6,MIST_7,MIST_8,MIST_9,MIST_10,MIST_11,MIST_12,MIST_13,MIST_14,MIST_15,MIST_16,MIST_17,MIST_18,MIST_19,MIST_20,COV_TRUST_1,COV_TRUST_2,COV_TRUST_3,COV_TRUST_4,COV_TRUST_5,COV_TRUST_6,COV_TRUST_7,COV_TRUST_8,COV_TRUST_9,COV_TRUST_10,COV_TRUST_11,COV_TRUST_12,COV_TRUST_13,intention,VAC_PASS_1,VAC_PASS_2,VAC_PASS_3,VAC_PASS_4,VAC_PASS_5,VAC_PASS_6,VAC_PASS_7,VAC_PASS_UK,intenttarget_1,intenttarget_2,uptaketarget
75,1,1,4,4,4,4,4,4,4,2.0,3,2,2,3,3,3,50,3,Scotland,Male,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Christian,"£35,000 to £44,999",Yes,No,No,1,Labour,Real,Fake,Real,Real,Fake,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Real,Fake,Real,Real,Fake,0,0,0,0,0,0,0,0,0,0,Family and friends,0,0,,4,4,4,4,5,5,4,4,,,1.0
76,,,4,4,4,4,4,3,1,5.0,1,2,2,2,2,3,42,3,Scotland,Male,"0-4 GCSE, O-levels, or equivalents",Working full-time,Christian,"£45,000 to £54,999",No,No,No,1,SNP,Real,Fake,Real,Real,Real,Fake,Real,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Fake,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,1.0,5,2,5,5,5,5,5,5,1.0,1.0,
77,,,4,4,4,4,3,1,1,4.0,2,2,2,2,2,2,32,2,Northern Ireland,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,0,Other/Not eligible,Real,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Real,Real,Real,Fake,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,Family and friends,0,0,1.0,4,2,5,4,4,5,3,4,1.0,1.0,
78,,,4,4,4,4,3,2,1,3.0,2,2,2,2,2,2,23,3,South East,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£25,000 to £34,999",No,No,No,0,Labour,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,Real,Real,Fake,0,Satellite / international television channels,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,1.0,1,4,4,5,3,4,3,3,1.0,1.0,
79,2,,4,4,4,4,4,3,1,3.0,2,2,2,2,2,2,68,2,Scotland,Male,2+ A levels or equivalents,Retired,Christian,"£45,000 to £54,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Real,Fake,Real,Real,National television,0,Radio,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,0,0,0,,1,1,5,5,4,4,5,3,,,1.0
83,,,4,4,4,4,4,4,1,3.0,3,1,1,2,2,2,37,2,Scotland,Female,Undergraduate or postgraduate degree,Working part-time,Atheist or agnostic,"Under £15,000",No,No,No,1,SNP,Real,Fake,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,1.0,1,2,4,4,4,5,4,3,1.0,1.0,
84,,,4,4,4,3,4,3,2,5.0,3,2,2,3,3,2,24,2,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"Over £100,000",No,No,No,0,Labour,Fake,Real,Fake,Fake,Real,Fake,Real,Fake,Fake,Real,Real,Fake,Fake,Real,Fake,Real,Real,Real,Real,Fake,National television,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,0,The internet or search engines,0,0,0,3.0,2,5,2,2,2,2,5,4,,0.0,
86,1,1,4,4,4,4,3,1,1,4.0,2,2,1,2,2,2,38,4,Scotland,Female,"0-4 GCSE, O-levels, or equivalents",Working full-time,Atheist or agnostic,"£15,000 to £24,999",Yes,No,No,0,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,0,Satellite / international television channels,0,0,0,0,0,0,0,0,0,0,0,,5,4,2,5,2,5,5,5,,,1.0
87,,,4,4,4,4,3,2,1,3.0,2,2,2,2,2,2,23,3,East of England,Female,Undergraduate or postgraduate degree,Student,Christian,"£35,000 to £44,999",No,No,No,0,Labour,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,1.0,4,1,2,4,4,2,2,3,1.0,1.0,
90,1,1,4,4,4,4,3,1,1,4.0,3,1,1,3,3,1,55,1,Wales,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Atheist or agnostic,"£25,000 to £34,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,4,5,2,2,2,2,2,4,,,1.0
91,1,1,4,4,3,4,3,1,1,3.0,2,3,2,2,2,3,24,2,Greater London,Male,Undergraduate or postgraduate degree,Working full-time,Other,"£15,000 to £24,999",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Real,Real,National television,Satellite / international television channels,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,Family and friends,0,0,,2,2,4,4,4,2,4,3,,,1.0
96,,,4,4,4,4,4,4,1,1.0,2,2,2,2,2,2,24,1,Scotland,Male,Undergraduate or postgraduate degree,Working part-time,Atheist or agnostic,"£15,000 to £24,999",No,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,3,2,1,4,5,3,1.0,1.0,
98,,,4,3,3,3,4,3,1,4.0,2,2,2,2,2,3,26,3,Scotland,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£55,000 to £64,999",No,No,No,0,SNP,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,0,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,"Work, school, or college",0,1.0,3,4,4,3,2,4,3,3,1.0,1.0,
99,1,1,4,4,4,4,4,4,4,5.0,3,2,3,2,2,2,24,4,West Midlands,Female,Undergraduate or postgraduate degree,Working full-time,Muslim,"Under £15,000",Yes,No,No,1,Labour,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,5,5,5,5,3,5,5,4,,,1.0
101,,,4,4,4,4,4,4,1,5.0,3,2,1,2,2,2,42,3,Scotland,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Other,"£55,000 to £64,999",No,No,No,1,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Real,Real,Fake,Real,Real,National television,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",0,0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,1.0,1,1,5,1,1,5,5,5,1.0,1.0,
102,,,4,4,4,4,4,1,1,3.0,2,3,2,2,2,2,18,2,Scotland,Male,2+ A levels or equivalents,Student,Atheist or agnostic,"Over £100,000",No,No,No,0,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,1.0,5,5,1,1,1,1,5,3,1.0,1.0,
104,,,1,2,2,1,2,2,3,3.0,2,1,2,2,2,2,24,3,West Midlands,Female,Undergraduate or postgraduate degree,Working full-time,Muslim,"£15,000 to £24,999",No,No,No,0,Labour,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,0,0,0,0,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,Family and friends,0,0,1.0,3,1,2,2,1,2,3,2,1.0,1.0,
105,,,4,4,4,4,3,2,1,4.0,3,2,1,2,2,2,38,3,Wales,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,1,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,National television,0,0,0,0,0,0,0,Government websites,The internet or search engines,Family and friends,0,0,1.0,3,3,3,3,3,3,3,4,1.0,1.0,
106,3,,4,4,4,4,4,1,1,2.0,2,2,1,2,2,1,54,2,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Christian,"£65,000 to £99,999",Yes,No,No,1,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,Newspapers,0,0,0,0,0,0,0,0,0,1.0,4,2,3,2,4,2,3,2,1.0,1.0,0.0
109,,,4,2,2,4,3,1,1,3.0,2,2,2,1,1,3,41,1,Wales,Female,Undergraduate or postgraduate degree,Working full-time,Christian,"£55,000 to £64,999",No,No,No,1,Labour,Real,Real,Real,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Fake,Fake,Fake,Fake,National television,0,0,0,0,0,0,0,Government websites,The internet or search engines,0,0,0,3.0,5,5,1,1,1,1,5,3,,0.0,
112,2,,3,4,4,4,3,3,1,3.0,3,1,1,3,3,2,44,2,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£55,000 to £64,999",Yes,No,No,0,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,,4,5,4,1,1,2,4,3,,,1.0
119,,,4,4,4,4,3,4,1,5.0,2,2,2,2,2,2,23,3,Greater London,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,0,Labour,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Real,Fake,Real,Real,Fake,Real,Real,National television,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",0,Healthcare workers,0,Government websites,The internet or search engines,Family and friends,0,0,1.0,4,3,2,3,3,3,2,5,1.0,1.0,
122,,,4,4,4,4,3,1,1,3.0,2,2,2,2,2,2,21,2,North West,Female,Undergraduate or postgraduate degree,Student,Atheist or agnostic,"Over £100,000",No,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,1.0,2,2,4,5,4,5,1,3,1.0,1.0,
123,,,4,4,4,4,4,4,1,5.0,2,3,3,2,1,3,37,3,Scotland,Male,Undergraduate or postgraduate degree,Student,Atheist or agnostic,"£35,000 to £44,999",No,No,No,0,SNP,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,The internet or search engines,0,0,0,1.0,3,2,5,4,4,4,4,4,1.0,1.0,
124,1,1,4,4,4,4,3,4,1,5.0,2,2,3,2,2,2,71,2,Northern Ireland,Male,Apprenticeship,Retired,Christian,"£35,000 to £44,999",Yes,No,Yes,0,Other/Not eligible,Fake,Fake,Real,Real,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,Fake,National television,0,0,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,0,0,,2,2,3,5,4,5,4,5,,,1.0
127,,,3,3,3,3,2,3,1,5.0,1,3,2,1,1,3,35,2,Scotland,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working full-time,Atheist or agnostic,"£35,000 to £44,999",No,Yes,No,0,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,National television,0,0,Newspapers,0,0,0,International health authorities (such as The World Health Organization),0,The internet or search engines,0,0,0,1.0,4,4,2,4,3,3,4,4,1.0,1.0,
129,1,1,4,4,4,4,2,4,1,1.0,2,1,1,2,2,2,49,4,Scotland,Female,"0-4 GCSE, O-levels, or equivalents",Working full-time,Christian,"£15,000 to £24,999",Yes,No,Yes,1,SNP,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Real,Fake,Real,Real,Real,Real,Fake,Fake,Fake,Fake,Real,Real,National television,0,0,0,0,0,0,0,Government websites,0,0,0,0,,5,5,5,5,5,4,5,1,,,1.0
133,,,4,4,4,4,4,3,1,3.0,1,3,2,1,1,3,47,4,Scotland,Female,"5+ GCSE, O-levels, 1 A level, or equivalents",Working part-time,Christian,"£15,000 to £24,999",No,No,No,1,Conservative,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,The internet or search engines,Family and friends,0,0,1.0,3,2,3,3,3,3,3,3,1.0,1.0,
136,1,1,4,4,4,3,3,3,1,3.0,3,1,1,3,2,2,50,2,Wales,Male,2+ A levels or equivalents,Working part-time,Other,"Under £15,000",Yes,No,No,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,National television,0,0,Newspapers,0,0,0,0,0,0,0,0,0,,2,2,3,3,3,2,4,3,,,1.0
138,1,1,4,4,4,4,3,3,1,4.0,3,2,2,3,3,2,32,2,Scotland,Female,Undergraduate or postgraduate degree,Working part-time,Atheist or agnostic,"£55,000 to £64,999",Yes,No,No,1,Labour,Fake,Fake,Real,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Real,Real,Real,Real,Real,National television,Satellite / international television channels,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,,1,1,4,5,5,5,5,4,,,1.0
143,1,1,3,3,3,4,4,4,4,5.0,1,3,3,1,2,3,61,3,Scotland,Male,"0-4 GCSE, O-levels, or equivalents",Working full-time,Christian,"£25,000 to £34,999",Yes,No,No,0,Conservative,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Fake,Real,Fake,National television,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,Government websites,0,0,0,0,,5,5,5,4,5,5,5,5,,,1.0
144,1,1,4,4,4,4,3,3,1,3.0,2,2,2,2,2,2,71,1,Scotland,Male,Undergraduate or postgraduate degree,Retired,Christian,"£35,000 to £44,999",Yes,No,No,0,Liberal Democrat,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,4,4,4,5,2,3,,,1.0
145,,,3,4,4,1,4,4,1,5.0,3,2,1,3,3,1,22,1,South West,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£15,000 to £24,999",No,No,No,0,Liberal Democrat,Fake,Real,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,Fake,Fake,Real,Real,0,0,Radio,Newspapers,"Social media (Facebook, Twitter, etc)",National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,International health authorities (such as The World Health Organization),Government websites,The internet or search engines,0,"Work, school, or college",0,1.0,4,3,4,5,5,4,5,5,1.0,1.0,
149,,,4,4,4,4,4,2,1,5.0,3,2,2,2,2,2,41,1,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£65,000 to £99,999",No,No,No,1,SNP,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Fake,Real,Real,Real,Real,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),Healthcare workers,0,Government websites,0,Family and friends,0,0,1.0,1,4,2,5,5,5,5,5,1.0,1.0,
150,1,1,4,4,4,3,4,3,4,4.0,3,2,2,3,3,2,50,3,Scotland,Female,Other,Working full-time,Christian,"£45,000 to £54,999",Yes,No,Yes,1,SNP,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Real,Fake,0,0,0,0,0,0,Healthcare workers,0,0,0,0,0,0,,5,4,5,5,5,5,5,4,,,1.0
152,,,4,4,4,4,3,1,1,5.0,2,3,3,1,2,3,24,1,South East,Male,Undergraduate or postgraduate degree,Student,Christian,"£35,000 to £44,999",No,No,No,0,Labour,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Fake,Real,Real,Real,Real,National television,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4,4,4,4,4,4,4,5,1.0,1.0,
155,1,1,4,4,4,4,3,1,1,5.0,2,3,2,2,2,3,49,2,Scotland,Female,2+ A levels or equivalents,Looking after the home,Atheist or agnostic,"£55,000 to £64,999",Yes,Yes,No,0,SNP,Real,Fake,Real,Real,Real,Fake,Fake,Fake,Fake,Fake,Real,Real,Fake,Real,Real,Fake,Real,Real,Real,Real,National television,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),0,The internet or search engines,0,0,0,,3,2,4,4,4,4,4,5,,,1.0
161,,,1,2,1,2,1,2,4,4.0,1,3,3,2,1,3,39,2,Scotland,Male,Undergraduate or postgraduate degree,Working full-time,Other,"£35,000 to £44,999",No,No,No,1,Conservative,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,Real,Fake,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,0,"Social media (Facebook, Twitter, etc)",0,0,0,Government websites,The internet or search engines,Family and friends,0,0,1.0,4,2,4,1,2,4,4,4,1.0,1.0,
162,1,1,3,3,4,3,3,3,1,5.0,2,3,3,1,1,3,46,3,Wales,Male,"0-4 GCSE, O-levels, or equivalents",Working part-time,Atheist or agnostic,"Under £15,000",Yes,No,Yes,0,Labour,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Fake,Fake,Fake,Fake,Fake,0,0,0,0,0,National public health authorities (such as the NHS or Public Health England / Wales),0,0,0,0,0,0,0,,5,5,5,5,5,5,5,5,,,1.0
163,,,4,4,4,4,4,2,1,5.0,1,3,2,1,1,3,44,3,Scotland,Female,Undergraduate or postgraduate degree,Working full-time,Atheist or agnostic,"£45,000 to £54,999",No,No,No,1,SNP,Real,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Real,Real,Real,Real,Real,Real,Real,Real,Real,Real,0,0,0,Newspapers,0,National public health authorities (such as the NHS or Public Health England / Wales),0,International health authorities (such as The World Health Organization),Government websites,0,0,0,0,4.0,2,2,3,3,3,3,3,5,0.0,0.0,
